,aeid,acid,assay_component_endpoint_name,export_ready,internal_ready,assay_component_endpoint_desc,assay_function_type,normalized_data_type,burst_assay,key_positive_control,signal_direction,intended_target_type,intended_target_type_sub,intended_target_family,intended_target_family_sub,fit_all,cell_viability_assay,data_usability,n_chemicals,n_chemicals_no_chid
16,34,17,APR_HepG2_MitoticArrest_24hr,1,1,"Data from the assay component APR_HepG2_MitoticArrest_24hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_MitoticArrest_24hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of morphology reporter, measures of protein for gain or loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene . 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is arrest.",signaling,log2_fold_induction,0,Paclitaxel;CCCP,bidirectional,pathway,pathway-specified,cell cycle,arrest,0,0,1,1067,20
17,36,18,APR_HepG2_NuclearSize_24hr,1,1,"Data from the assay component APR_HepG2_NuclearSize_24hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_NuclearSize_24hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of morphology reporter, measures of all nuclear dna for gain or loss-of-signal activity can be used to understand the signaling at the nuclear-level. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell morphology intended target family, where the subfamily is organelle conformation.",signaling,log2_fold_induction,0,Paclitaxel;CCCP,bidirectional,cellular,nucleus,cell morphology,organelle conformation,0,0,1,1067,40
18,38,19,APR_HepG2_P-H2AX_24hr,1,1,"Data from the assay component APR_HepG2_P-H2AX_24hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_P-H2AX_24hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of protein for gain or loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene . 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is cellular response to DNA damage stimulus.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin,bidirectional,pathway,pathway-specified,dna binding,cellular response to DNA damage stimulus,0,0,1,1067,20
19,40,20,APR_HepG2_p53Act_24hr,1,1,"Data from the assay component APR_HepG2_p53Act_24hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_p53Act_24hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of protein for gain or loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene TP53. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is tumor suppressor.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin,bidirectional,pathway,pathway-specified,dna binding,tumor suppressor,0,0,1,1067,20
20,42,21,APR_HepG2_StressKinase_24hr,1,1,"Data from the assay component APR_HepG2_StressKinase_24hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_StressKinase_24hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, measures of protein for gain or loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene . 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is stress response.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin,bidirectional,pathway,pathway-specified,cell cycle,stress response,0,0,1,1067,20
21,44,22,APR_HepG2_CellCycleArrest_72hr,1,1,"Data from the assay component APR_HepG2_CellCycleArrest_72hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_CellCycleArrest_72hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of morphology reporter, measures of all nuclear dna for gain or loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene . 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is arrest.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin,bidirectional,pathway,pathway-specified,cell cycle,arrest,0,0,1,1067,40
22,46,23,APR_HepG2_CellLoss_72hr,1,1,"Data from the assay component APR_HepG2_CellLoss_72hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_CellLoss_72hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of all nuclear dna for gain or loss-of-signal activity can be used to understand the viability at the cellular-level. 
Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is proliferation.",viability,log2_fold_induction,0,Camptothecin;Anisomycin;Paclitaxel;CCCP,bidirectional,cellular,cellular,cell cycle,proliferation,0,0,1,1067,40
23,48,24,APR_HepG2_MicrotubuleCSK_72hr,1,1,"Data from the assay component APR_HepG2_MicrotubuleCSK_72hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_MicrotubuleCSK_72hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of conformation reporter, measures of protein for gain or loss-of-signal activity can be used to understand the signaling at the cellular-level. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell morphology intended target family, where the subfamily is cell conformation.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin,bidirectional,cellular,cellular,cell morphology,cell conformation,0,0,1,1052,20
24,50,25,APR_HepG2_MitoMass_72hr,1,1,"Data from the assay component APR_HepG2_MitoMass_72hr was analyzed into 1 assay endpoint. This assay endpoint, APR_HepG2_MitoMass_72hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of morphology reporter, gain or loss-of-signal activity can be used to understand changes in the signaling. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell morphology intended target family, where the subfamily is organelle conformation.",signaling,log2_fold_induction,0,Paclitaxel;CCCP,bidirectional,cellular,mitochondria,cell morphology,organelle conformation,0,0,1,1052,20
25,52,26,APR_HepG2_MitoMembPot_72hr,1,1,"Data from the assay component APR_HepG2_MitoMembPot_72hr was analyzed into 1 assay endpoint. This assay endpoint, APR_HepG2_MitoMembPot_72hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of membrane potential reporter, gain or loss-of-signal activity can be used to understand changes in the signaling. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell morphology intended target family, where the subfamily is organelle conformation.",signaling,log2_fold_induction,0,Paclitaxel;CCCP,bidirectional,cellular,mitochondria,cell morphology,organelle conformation,0,0,1,1052,20
26,54,27,APR_HepG2_MitoticArrest_72hr,1,1,"Data from the assay component APR_HepG2_MitoticArrest_72hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_MitoticArrest_72hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of morphology reporter, measures of protein for gain or loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene . 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is arrest.",signaling,log2_fold_induction,0,Paclitaxel;CCCP,bidirectional,pathway,pathway-specified,cell cycle,arrest,0,0,1,1052,20
27,56,28,APR_HepG2_NuclearSize_72hr,1,1,"Data from the assay component APR_HepG2_NuclearSize_72hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_NuclearSize_72hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of morphology reporter, measures of all nuclear dna for gain or loss-of-signal activity can be used to understand the signaling at the nuclear-level. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell morphology intended target family, where the subfamily is organelle conformation.",signaling,log2_fold_induction,0,Paclitaxel;CCCP,bidirectional,cellular,nucleus,cell morphology,organelle conformation,0,0,1,1067,40
28,58,29,APR_HepG2_P-H2AX_72hr,1,1,"Data from the assay component APR_HepG2_P-H2AX_72hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_P-H2AX_72hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of protein for gain or loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene . 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is cellular response to DNA damage stimulus.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin,bidirectional,pathway,pathway-specified,dna binding,cellular response to DNA damage stimulus,0,0,1,1067,20
29,60,30,APR_HepG2_p53Act_72hr,1,1,"Data from the assay component APR_HepG2_p53Act_72hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_p53Act_72hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of protein for gain or loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene TP53. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is tumor suppressor.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin,bidirectional,pathway,pathway-specified,dna binding,tumor suppressor,0,0,1,1067,20
30,62,31,APR_HepG2_StressKinase_72hr,1,1,"Data from the assay component APR_HepG2_StressKinase_72hr was analyzed into 1 assay endpoint. 
This assay endpoint, APR_HepG2_StressKinase_72hr, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, measures of protein for gain or loss-of-signal activity can be used to understand the signaling at the pathway-level as they relate to the gene . 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is stress response.",signaling,log2_fold_induction,0,Camptothecin;Anisomycin,bidirectional,pathway,pathway-specified,cell cycle,stress response,0,0,1,1067,20
31,63,32,ATG_Ahr_CIS,1,1,"Data from the assay component ATG_Ahr_CIS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_Ahr_CIS, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain or loss-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene AHR. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is basic helix-loop-helix protein.",reporter gene,log2_fold_induction,0,6-formylindolo carbazole,bidirectional,protein,transcription factor,dna binding,basic helix-loop-helix protein,0,0,1,4040,2703
32,64,33,ATG_AP_1_CIS,1,1,"Data from the assay component ATG_AP_1_CIS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_AP_1_CIS, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene FOS and JUN. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is basic leucine zipper.",reporter gene,log2_fold_induction,0,NA,gain,protein,transcription factor,dna binding,basic leucine zipper,0,0,1,4040,2703
33,65,34,ATG_AP_2_CIS,1,1,"Data from the assay component ATG_AP_2_CIS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_AP_2_CIS, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene TFAP2A and TFAP2B and TFAP2D. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is basic helix-turn-helix leucine zipper.",reporter gene,log2_fold_induction,0,NA,gain,protein,transcription factor,dna binding,basic helix-turn-helix leucine zipper,0,0,1,4040,2702
34,66,35,ATG_BRE_CIS,1,1,"Data from the assay component ATG_BRE_CIS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_BRE_CIS, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene SMAD1. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is Smad protein.",reporter gene,log2_fold_induction,0,NA,gain,protein,transcription factor,dna binding,Smad protein,0,0,1,4040,2703
35,67,36,ATG_C_EBP_CIS,1,1,"Data from the assay component ATG_C_EBP_CIS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_C_EBP_CIS, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the reporter gene at the transcription factor-level as they relate to the gene CEBPB. 

Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a reporter gene function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the dna binding intended target family, where the subfamily is basic leucine zipper.",reporter gene,log2_fold_induction,0,NA,gain,protein,transcription factor,dna binding,basic leucine zipper,0,0,1,4040,2703
36,68,37,ATG_CMV_CIS,1,1,"Data from the assay component ATG_CMV_CIS was analyzed into 1 assay endpoint. 

This assay endpoint, ATG_CMV_CIS, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 

Using a type of inducible reporter, measures of mRNA for gain-of-signal activity can be used to understand the background control at the transcription factor-level as they relate to the gene . 

Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a background control function. 

To generalize the intended target to other relatable targets, this assay endpoint is annotated to the background measurement intended target family, where the subfamily is internal marker.",background control,log2_fold_induction,0,NA,gain,protein,transcription factor,background measurement,internal marker,0,0,1,4040,2702
