,aeid,acid,assay_component_endpoint_name,export_ready,internal_ready,assay_component_endpoint_desc,assay_function_type,normalized_data_type,burst_assay,key_positive_control,signal_direction,intended_target_type,intended_target_type_sub,intended_target_family,intended_target_family_sub,fit_all,cell_viability_assay,data_usability,n_chemicals,n_chemicals_no_chid,aid,assay_component_name,assay_component_desc,assay_component_target_desc,parameter_readout_type,assay_design_type,assay_design_type_sub,biological_process_target,detection_technology_type,detection_technology_type_sub,detection_technology,key_assay_reagent_type,key_assay_reagent,technological_target_type,technological_target_type_sub,asid,assay_name,assay_desc,timepoint_hr,organism_id,organism,tissue,cell_format,cell_free_component_source,cell_short_name,cell_growth_mode,assay_footprint,assay_format_type,assay_format_type_sub,content_readout_type,dilution_solvent,dilution_solvent_percent_max
237,393,238,NVS_ENZ_hAurA,1,1,"Data from the assay component NVS_ENZ_hAurA was analyzed into 1 assay endpoint. This assay endpoint, NVS_ENZ_hAurA, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene AURKA. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is serine/threonine kinase.",enzymatic activity,percent_activity,0,Staurosporine,loss,protein,enzyme,kinase,serine/threonine kinase,0,0,1,101,72,52,NVS_ENZ_hAurA,"NVS_ENZ_hAurA is one of one assay component(s) measured or calculated from the NVS_ENZ_hAurA assay. It is designed to make measurements of enzyme activity, a form of enzyme reporter, as detected with fluorescence intensity signals by Fluorescence and electrophoretic mobility shift technology.",Changes to fluorescence intensity signals produced from an enzymatic reaction [Reaction:Fluorescein-peptide + ATP --> fluorescein-phosphopeptide + ADP] involving the key substrate [Fluorescein-labeled peptide] are indicative of changes in enzyme function and kinetics for the human aurora kinase A [GeneSymbol:AURKA | GeneID:6790 | Uniprot_SwissProt_Accession:O14965].,single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,Fluorescence and electrophoretic mobility shift,substrate,Fluorescein-labeled peptide,protein,enzyme,5,NVS_ENZ_hAurA,"NVS_ENZ_hAurA is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 384-well plate.",1.0,9606.0,human,NA,cell-free,NA,NA,NA,microplate: 384-well plate,biochemical,protein single format,single,DMSO,0.0
238,395,239,NVS_ENZ_hBACE,1,1,"Data from the assay component NVS_ENZ_hBACE was analyzed into 1 assay endpoint. This assay endpoint, NVS_ENZ_hBACE, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene BACE1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the protease intended target family, where the subfamily is aspartate protease.",enzymatic activity,percent_activity,0,OM99-02,loss,protein,enzyme,protease,aspartate protease,0,0,1,253,888,53,NVS_ENZ_hBACE,"NVS_ENZ_hBACE is one of one assay component(s) measured or calculated from the NVS_ENZ_hBACE assay. It is designed to make measurements of enzyme activity, a form of enzyme reporter, as detected with fluorescence intensity signals by Fluorescence technology.",Changes to fluorescence intensity signals produced from an enzymatic reaction [Reaction:Rh-EVNLDAEFK-Quencher (weak fluorescence)+BACE --> Rh-ENVL(increased fluorescence) + DAEFK-Quencher] involving the key substrate [Rh-EVNLDAEFK-Quencher] are indicative of changes in enzyme function and kinetics for the human beta-site APP-cleaving enzyme 1 [GeneSymbol:BACE1 | GeneID:23621 | Uniprot_SwissProt_Accession:P56817].,single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,Fluorescence,substrate,Rh-EVNLDAEFK-Quencher,protein,enzyme,5,NVS_ENZ_hBACE,"NVS_ENZ_hBACE is a biochemical, single-readout assay that uses extracted gene-proteins from SF9 in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 96-well plate.",1.0,9606.0,human,NA,cell-free,SF9,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.0
239,397,240,NVS_ENZ_hBTK,1,1,"Data from the assay component NVS_ENZ_hBTK was analyzed into 1 assay endpoint. This assay endpoint, NVS_ENZ_hBTK, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene BTK. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is non-receptor tyrosine kinase.",enzymatic activity,percent_activity,0,Staurosporine,loss,protein,enzyme,kinase,non-receptor tyrosine kinase,0,0,1,17,24,54,NVS_ENZ_hBTK,"NVS_ENZ_hBTK is one of one assay component(s) measured or calculated from the NVS_ENZ_hBTK assay. It is designed to make measurements of enzyme activity, a form of enzyme reporter, as detected with fluorescence intensity signals by Fluorescence and electrophoretic mobility shift technology.",Changes to fluorescence intensity signals produced from an enzymatic reaction [Reaction:Fluorescein-peptide + ATP --> fluorescein-phosphopeptide + ADP] involving the key substrate [Fluorescein-labeled peptide] are indicative of changes in enzyme function and kinetics for the human Bruton agammaglobulinemia tyrosine kinase [GeneSymbol:BTK | GeneID:695 | Uniprot_SwissProt_Accession:Q06187].,single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,Fluorescence and electrophoretic mobility shift,substrate,Fluorescein-labeled peptide,protein,enzyme,5,NVS_ENZ_hBTK,"NVS_ENZ_hBTK is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 96-well plate.",1.0,9606.0,human,NA,cell-free,NA,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.0
240,399,241,NVS_ENZ_hCASP1,1,1,"Data from the assay component NVS_ENZ_hCASP1 was analyzed into 1 assay endpoint. This assay endpoint, NVS_ENZ_hCASP1, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene CASP1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the protease intended target family, where the subfamily is cysteine protease.",enzymatic activity,percent_activity,0,Ac-YVAD-CHO,loss,protein,enzyme,protease,cysteine protease,0,0,1,46,132,55,NVS_ENZ_hCASP1,"NVS_ENZ_hCASP1 is one of one assay component(s) measured or calculated from the NVS_ENZ_hCASP1 assay. It is designed to make measurements of enzyme activity, a form of enzyme reporter, as detected with fluorescence intensity signals by Fluorescence technology.","Changes to fluorescence intensity signals produced from an enzymatic reaction [Reaction:LEHD-AFC --> LEHD+ AFC(fluorescent)] involving the key substrate [7-amino-4-trifluoromethylcoumarin-tagged LEHD] are indicative of changes in enzyme function and kinetics for the human caspase 1, apoptosis-related cysteine peptidase [GeneSymbol:CASP1 | GeneID:834 | Uniprot_SwissProt_Accession:P29466].",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,Fluorescence,substrate,7-amino-4-trifluoromethylcoumarin-tagged LEHD,protein,enzyme,5,NVS_ENZ_hCASP1,"NVS_ENZ_hCASP1 is a biochemical, single-readout assay that uses extracted gene-proteins from E. coli in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 96-well plate.",1.0,9606.0,human,NA,cell-free,E. coli,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.0
241,401,242,NVS_ENZ_hCASP10,1,1,"Data from the assay component NVS_ENZ_hCASP10 was analyzed into 1 assay endpoint. This assay endpoint, NVS_ENZ_hCASP10, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene CASP10. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the protease intended target family, where the subfamily is cysteine protease.",enzymatic activity,percent_activity,0,Ac-DEVD-CHO,loss,protein,enzyme,protease,cysteine protease,0,0,1,38,84,56,NVS_ENZ_hCASP10,"NVS_ENZ_hCASP10 is one of one assay component(s) measured or calculated from the NVS_ENZ_hCASP10 assay. It is designed to make measurements of enzyme activity, a form of enzyme reporter, as detected with fluorescence intensity signals by Fluorescence technology.","Changes to fluorescence intensity signals produced from an enzymatic reaction [Reaction:LEHD-AFC --> LEHD+ AFC(fluorescent)] involving the key substrate [7-amino-4-trifluoromethylcoumarin-tagged LEHD] are indicative of changes in enzyme function and kinetics for the human caspase 10, apoptosis-related cysteine peptidase [GeneSymbol:CASP10 | GeneID:843 | Uniprot_SwissProt_Accession:Q92851].",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,Fluorescence,substrate,7-amino-4-trifluoromethylcoumarin-tagged LEHD,protein,enzyme,5,NVS_ENZ_hCASP10,"NVS_ENZ_hCASP10 is a biochemical, single-readout assay that uses extracted gene-proteins from E. coli in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 96-well plate.",1.0,9606.0,human,NA,cell-free,E. coli,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.0
242,403,243,NVS_ENZ_hCASP2,1,1,"Data from the assay component NVS_ENZ_hCASP2 was analyzed into 1 assay endpoint. This assay endpoint, NVS_ENZ_hCASP2, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene CASP2. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the protease intended target family, where the subfamily is cysteine protease.",enzymatic activity,percent_activity,0,z-VDVAD-CHO,loss,protein,enzyme,protease,cysteine protease,0,0,1,97,216,57,NVS_ENZ_hCASP2,"NVS_ENZ_hCASP2 is one of one assay component(s) measured or calculated from the NVS_ENZ_hCASP2 assay. It is designed to make measurements of enzyme activity, a form of enzyme reporter, as detected with fluorescence intensity signals by Fluorescence technology.","Changes to fluorescence intensity signals produced from an enzymatic reaction [Reaction:VDVAD-AFC --> VDVAD + AFC] involving the key substrate [7-amino-4-trifluoromethylcoumarin-tagged VDVAD] are indicative of changes in enzyme function and kinetics for the human caspase 2, apoptosis-related cysteine peptidase [GeneSymbol:CASP2 | GeneID:835 | Uniprot_SwissProt_Accession:P42575].",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,Fluorescence,substrate,7-amino-4-trifluoromethylcoumarin-tagged VDVAD,protein,enzyme,5,NVS_ENZ_hCASP2,"NVS_ENZ_hCASP2 is a biochemical, single-readout assay that uses extracted gene-proteins from E. coli in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 96-well plate.",1.0,9606.0,human,NA,cell-free,E. coli,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.0
243,405,244,NVS_ENZ_hCASP3,1,1,"Data from the assay component NVS_ENZ_hCASP3 was analyzed into 1 assay endpoint. This assay endpoint, NVS_ENZ_hCASP3, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene CASP3. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the protease intended target family, where the subfamily is cysteine protease.",enzymatic activity,percent_activity,0,Ac-DEVD-CHO,loss,protein,enzyme,protease,cysteine protease,0,0,1,47,108,58,NVS_ENZ_hCASP3,"NVS_ENZ_hCASP3 is one of one assay component(s) measured or calculated from the NVS_ENZ_hCASP3 assay. It is designed to make measurements of enzyme activity, a form of enzyme reporter, as detected with fluorescence intensity signals by Fluorescence technology.","Changes to fluorescence intensity signals produced from an enzymatic reaction [Reaction:DEVD-AFC --> DEVD + AFC] involving the key substrate [7-amino-4-trifluoromethylcoumarin-tagged DEVD] are indicative of changes in enzyme function and kinetics for the human caspase 3, apoptosis-related cysteine peptidase [GeneSymbol:CASP3 | GeneID:836 | Uniprot_SwissProt_Accession:P42574].",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,Fluorescence,substrate,7-amino-4-trifluoromethylcoumarin-tagged DEVD,protein,enzyme,5,NVS_ENZ_hCASP3,"NVS_ENZ_hCASP3 is a biochemical, single-readout assay that uses extracted gene-proteins from E. coli in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 96-well plate.",1.0,9606.0,human,NA,cell-free,E. coli,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.0
244,407,245,NVS_ENZ_hCASP4,1,1,"Data from the assay component NVS_ENZ_hCASP4 was analyzed into 1 assay endpoint. This assay endpoint, NVS_ENZ_hCASP4, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene CASP4. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the protease intended target family, where the subfamily is cysteine protease.",enzymatic activity,percent_activity,0,Ac-LEHD-CHO,loss,protein,enzyme,protease,cysteine protease,0,0,1,67,180,59,NVS_ENZ_hCASP4,"NVS_ENZ_hCASP4 is one of one assay component(s) measured or calculated from the NVS_ENZ_hCASP4 assay. It is designed to make measurements of enzyme activity, a form of enzyme reporter, as detected with fluorescence intensity signals by Fluorescence technology.","Changes to fluorescence intensity signals produced from an enzymatic reaction [Reaction:LEHD-AFC --> LEHD+ AFC(fluorescent)] involving the key substrate [7-amino-4-trifluoromethylcoumarin-tagged LEHD] are indicative of changes in enzyme function and kinetics for the human caspase 4, apoptosis-related cysteine peptidase [GeneSymbol:CASP4 | GeneID:837 | Uniprot_SwissProt_Accession:P49662].",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,Fluorescence,substrate,7-amino-4-trifluoromethylcoumarin-tagged LEHD,protein,enzyme,5,NVS_ENZ_hCASP4,"NVS_ENZ_hCASP4 is a biochemical, single-readout assay that uses extracted gene-proteins from E. coli in a cell-free assay. Measurements were taken 2 hours after chemical dosing in a 96-well plate.",2.0,9606.0,human,NA,cell-free,E. coli,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.0
245,409,246,NVS_ENZ_hCASP5,1,1,"Data from the assay component NVS_ENZ_hCASP5 was analyzed into 1 assay endpoint. This assay endpoint, NVS_ENZ_hCASP5, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene CASP5. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the protease intended target family, where the subfamily is cysteine protease.",enzymatic activity,percent_activity,0,Ac-LEHD-CHO,loss,protein,enzyme,protease,cysteine protease,0,0,1,129,512,60,NVS_ENZ_hCASP5,"NVS_ENZ_hCASP5 is one of one assay component(s) measured or calculated from the NVS_ENZ_hCASP5 assay. It is designed to make measurements of enzyme activity, a form of enzyme reporter, as detected with fluorescence intensity signals by Fluorescence technology.","Changes to fluorescence intensity signals produced from an enzymatic reaction [Reaction:LEHD-AFC --> LEHD+ AFC(fluorescent)] involving the key substrate [7-amino-4-trifluoromethylcoumarin-tagged LEHD] are indicative of changes in enzyme function and kinetics for the human caspase 5, apoptosis-related cysteine peptidase [GeneSymbol:CASP5 | GeneID:838 | Uniprot_SwissProt_Accession:P51878].",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,Fluorescence,substrate,7-amino-4-trifluoromethylcoumarin-tagged LEHD,protein,enzyme,5,NVS_ENZ_hCASP5,"NVS_ENZ_hCASP5 is a biochemical, single-readout assay that uses extracted gene-proteins from E. coli in a cell-free assay. Measurements were taken 2 hours after chemical dosing in a 96-well plate.",2.0,9606.0,human,NA,cell-free,E. coli,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.0
246,411,247,NVS_ENZ_hCASP8,1,1,"Data from the assay component NVS_ENZ_hCASP8 was analyzed into 1 assay endpoint. This assay endpoint, NVS_ENZ_hCASP8, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene CASP8. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the protease intended target family, where the subfamily is cysteine protease.",enzymatic activity,percent_activity,0,Ac-DEVD-CHO,loss,protein,enzyme,protease,cysteine protease,0,0,1,87,192,61,NVS_ENZ_hCASP8,"NVS_ENZ_hCASP8 is one of one assay component(s) measured or calculated from the NVS_ENZ_hCASP8 assay. It is designed to make measurements of enzyme activity, a form of enzyme reporter, as detected with fluorescence intensity signals by Fluorescence technology.","Changes to fluorescence intensity signals produced from an enzymatic reaction [Reaction:LEHD-AFC --> LEHD+ AFC(fluorescent)] involving the key substrate [7-amino-4-trifluoromethylcoumarin-tagged LEHD] are indicative of changes in enzyme function and kinetics for the human caspase 8, apoptosis-related cysteine peptidase [GeneSymbol:CASP8 | GeneID:841 | Uniprot_SwissProt_Accession:Q14790].",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,Fluorescence,substrate,7-amino-4-trifluoromethylcoumarin-tagged LEHD,protein,enzyme,5,NVS_ENZ_hCASP8,"NVS_ENZ_hCASP8 is a biochemical, single-readout assay that uses extracted gene-proteins from E. coli in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 96-well plate.",1.0,9606.0,human,NA,cell-free,E. coli,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.0
247,413,248,NVS_ENZ_hCDK2,1,1,"Data from the assay component NVS_ENZ_hCDK2 was analyzed into 1 assay endpoint. This assay endpoint, NVS_ENZ_hCDK2, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene CDK2. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is serine/threonine kinase.",enzymatic activity,percent_activity,0,Staurosporine,loss,protein,enzyme,kinase,serine/threonine kinase,0,0,1,56,48,62,NVS_ENZ_hCDK2,"NVS_ENZ_hCDK2 is one of one assay component(s) measured or calculated from the NVS_ENZ_hCDK2 assay. It is designed to make measurements of enzyme activity, a form of enzyme reporter, as detected with fluorescence intensity signals by Fluorescence and electrophoretic mobility shift technology.",Changes to fluorescence intensity signals produced from an enzymatic reaction [Reaction:Fluorescein-peptide + ATP --> fluorescein-phosphopeptide + ADP] involving the key substrate [Fluorescein-labeled peptide] are indicative of changes in enzyme function and kinetics for the human cyclin-dependent kinase 2 [GeneSymbol:CDK2 | GeneID:1017 | Uniprot_SwissProt_Accession:P24941].,single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,Fluorescence and electrophoretic mobility shift,substrate,Fluorescein-labeled peptide,protein,enzyme,5,NVS_ENZ_hCDK2,"NVS_ENZ_hCDK2 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 384-well plate.",1.0,9606.0,human,NA,cell-free,NA,NA,NA,microplate: 384-well plate,biochemical,protein single format,single,DMSO,0.0
248,415,249,NVS_ENZ_hCDK6,1,1,"Data from the assay component NVS_ENZ_hCDK6 was analyzed into 1 assay endpoint. This assay endpoint, NVS_ENZ_hCDK6, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene CDK6. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is serine/threonine kinase.",enzymatic activity,percent_activity,0,Staurosporine,loss,protein,enzyme,kinase,serine/threonine kinase,0,0,1,12,12,63,NVS_ENZ_hCDK6,"NVS_ENZ_hCDK6 is one of one assay component(s) measured or calculated from the NVS_ENZ_hCDK6 assay. It is designed to make measurements of enzyme activity, a form of enzyme reporter, as detected with fluorescence intensity signals by Fluorescence and electrophoretic mobility shift technology.",Changes to fluorescence intensity signals produced from an enzymatic reaction [Reaction:Fluorescein-peptide + ATP --> fluorescein-phosphopeptide + ADP] involving the key substrate [Fluorescein-labeled peptide] are indicative of changes in enzyme function and kinetics for the human cyclin-dependent kinase 6 [GeneSymbol:CDK6 | GeneID:1021 | Uniprot_SwissProt_Accession:Q00534].,single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,Fluorescence and electrophoretic mobility shift,substrate,Fluorescein-labeled peptide,protein,enzyme,5,NVS_ENZ_hCDK6,"NVS_ENZ_hCDK6 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 384-well plate.",1.0,9606.0,human,NA,cell-free,NA,NA,NA,microplate: 384-well plate,biochemical,protein single format,single,DMSO,0.0
249,417,250,NVS_ENZ_hCHK1,1,1,"Data from the assay component NVS_ENZ_hCHK1 was analyzed into 1 assay endpoint. This assay endpoint, NVS_ENZ_hCHK1, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene CHEK1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is serine/threonine kinase.",enzymatic activity,percent_activity,0,Staurosporine,loss,protein,enzyme,kinase,serine/threonine kinase,0,0,1,3,12,64,NVS_ENZ_hCHK1,"NVS_ENZ_hCHK1 is one of one assay component(s) measured or calculated from the NVS_ENZ_hCHK1 assay. It is designed to make measurements of enzyme activity, a form of enzyme reporter, as detected with fluorescence intensity signals by Fluorescence and electrophoretic mobility shift technology.",Changes to fluorescence intensity signals produced from an enzymatic reaction [Reaction:Fluorescein-peptide + ATP --> fluorescein-phosphopeptide + ADP] involving the key substrate [Fluorescein-labeled peptide] are indicative of changes in enzyme function and kinetics for the human checkpoint kinase 1 [GeneSymbol:CHEK1 | GeneID:1111 | Uniprot_SwissProt_Accession:O14757].,single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,Fluorescence and electrophoretic mobility shift,substrate,Fluorescein-labeled peptide,protein,enzyme,5,NVS_ENZ_hCHK1,"NVS_ENZ_hCHK1 is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 96-well plate.",1.0,9606.0,human,NA,cell-free,NA,NA,NA,microplate: 96-well plate,biochemical,protein single format,single,DMSO,0.0
250,419,251,NVS_ENZ_hCK1a,1,1,"Data from the assay component NVS_ENZ_hCK1a was analyzed into 1 assay endpoint. This assay endpoint, NVS_ENZ_hCK1a, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene CSNK1A1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is serine/threonine kinase.",enzymatic activity,percent_activity,0,5-iodotubericidin,loss,protein,enzyme,kinase,serine/threonine kinase,0,0,1,14,12,65,NVS_ENZ_hCK1a,"NVS_ENZ_hCK1a is one of one assay component(s) measured or calculated from the NVS_ENZ_hCK1a assay. It is designed to make measurements of enzyme activity, a form of enzyme reporter, as detected with fluorescence intensity signals by Fluorescence and electrophoretic mobility shift technology.","Changes to fluorescence intensity signals produced from an enzymatic reaction [Reaction:Fluorescein-peptide + ATP --> fluorescein-phosphopeptide + ADP] involving the key substrate [Fluorescein-labeled peptide] are indicative of changes in enzyme function and kinetics for the human casein kinase 1, alpha 1 [GeneSymbol:CSNK1A1 | GeneID:1452 | Uniprot_SwissProt_Accession:P48729].",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,Fluorescence and electrophoretic mobility shift,substrate,Fluorescein-labeled peptide,protein,enzyme,5,NVS_ENZ_hCK1a,"NVS_ENZ_hCK1a is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 384-well plate.",1.0,9606.0,human,NA,cell-free,NA,NA,NA,microplate: 384-well plate,biochemical,protein single format,single,DMSO,0.0
251,421,252,NVS_ENZ_hCK1D,1,1,"Data from the assay component NVS_ENZ_hCK1D was analyzed into 1 assay endpoint. This assay endpoint, NVS_ENZ_hCK1D, was analyzed in the positive analysis fitting direction relative to DMSO as the negative control and baseline of activity. 
Using a type of enzyme reporter, loss-of-signal activity can be used to understand changes in the enzymatic activity as they relate to the gene CSNK1D. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a enzymatic activity function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is serine/threonine kinase.",enzymatic activity,percent_activity,0,5-iodotubericidin,loss,protein,enzyme,kinase,serine/threonine kinase,0,0,1,139,72,66,NVS_ENZ_hCK1D,"NVS_ENZ_hCK1D is one of one assay component(s) measured or calculated from the NVS_ENZ_hCK1D assay. It is designed to make measurements of enzyme activity, a form of enzyme reporter, as detected with fluorescence intensity signals by Fluorescence and electrophoretic mobility shift technology.","Changes to fluorescence intensity signals produced from an enzymatic reaction [Reaction:Fluorescein-peptide + ATP --> fluorescein-phosphopeptide + ADP] involving the key substrate [Fluorescein-labeled peptide] are indicative of changes in enzyme function and kinetics for the human casein kinase 1, delta [GeneSymbol:CSNK1D | GeneID:1453 | Uniprot_SwissProt_Accession:P48730].",single,enzyme reporter,enzyme activity,regulation of catalytic activity,Fluorescence,Fluorescence intensity,Fluorescence and electrophoretic mobility shift,substrate,Fluorescein-labeled peptide,protein,enzyme,5,NVS_ENZ_hCK1D,"NVS_ENZ_hCK1D is a biochemical, single-readout assay that uses extracted gene-proteins in a cell-free assay. Measurements were taken 1 hour after chemical dosing in a 384-well plate.",1.0,9606.0,human,NA,cell-free,NA,NA,NA,microplate: 384-well plate,biochemical,protein single format,single,DMSO,0.0
